review,sentiment,tagalog
There is a lot of beautiful places.,1,May ay isang pulutong ng mga magagandang lugar.
"It was forced, like everything in this movie.",0,"Ito ay sapilitang, tulad ng lahat ng bagay sa pelikulang ito."
"Again, lame.",0,"Muli, pilay."
Here's where the movie really pi**ed me off.,0,Narito kung saan ang pelikula ay talagang pi ** ed sa akin off.
And don't even get me started on the jerky camerawork.,0,At huwag kahit makakuha ako nagsimula sa maalog paggawa ng pelikula.
When I saw it in the theater I thought I was going to be sick.,0,Kapag nakita ko ito sa teatro Akala ko ako ay pagpunta sa maging may sakit.
Summary: The witticisms weren't witty.,0,Buod: Ang witticisms ay hindi nakakatawa.
"The plot - well, I said I'd let that one go.",0,"Ang isang lagay ng lupa - na rin, sinabi ko Gusto ko ipaalam na ang isa go."
The acting was bad.,0,kumikilos ay masama.
Really bad.,0,Talagang masama.
"Even Billy Bob couldn't rise above the script, which was worse.",0,"Kahit Billy Bob ay hindi maaaring tumaas sa itaas ng mga script, na kung saan ay mas masahol pa."
"Camerawork - again, bad.",0,"Paggawa ng pelikula - muli, masama."
Rating: 1 out of 10.,0,Rating: 1 out of 10.
An AMAZING finale to possibly the BEST trilogy of all time!,1,Isang kahanga-hangang katapusan sa posibleng ang BEST trilogy ng lahat ng oras!
Kieslowski never ceases to amaze me.,1,Kieslowski hindi kailanman ceases upang humanga sa akin.
"He is one of my favourite directors, and one of the most talented directors in the history of cinema.",1,"Siya ay isa sa aking mga paboritong mga direktor, at isa sa mga pinaka-mahuhusay na direktor sa kasaysayan ng sinehan."
"His use of the colours of the French flag in the three films was nothing short of incredible, every shot, every scene was like a work of art.",1,"Ang kanyang paggamit ng mga kulay ng mga Pranses bandila sa tatlong pelikula ay walang maikling ng hindi kapani-paniwala, ang bawat shot, ang bawat eksena ay parang isang gawain ng art."
Three of the most visually appealing movies i've ever seen.,1,Tatlong sa mga pinaka-visually sumasamo pelikula kailanman ko na nakita.
And his subtle connections between the three films are awesome.,1,At ang kanyang banayad na mga koneksyon sa pagitan ng tatlong pelikula ay awesome.
"I have to mention this and it is a huge SPOILER, i loved the ending, how all the characters of the three films were the remaining survivors of the ferry disaster, with Valentine and the young judge together, and the old man watching it on her TV, solidifying his happiness over the suffering which he dealt with for those many years.",1,"Mayroon akong upang mailakip ang mga ito at ito ay isang malaking SPOILER, minahal ko ang nagtatapos, kung paano ang lahat ng mga character ng tatlong pelikula ay ang mga natitirang mga nakaligtas ng ferry sakuna, may Valentine at ang batang hukom nang sama-sama, at ang matanda pinapanood ito sa kanyang TV, solidifying kanyang kaligayahan sa ibabaw ng paghihirap kung saan siya Aaksyunan para sa mga maraming taon."
"I couldn't think of a better way to end the film, but a smile on my face, great way to wrap up an amazing film and trilogy!",1,"Hindi ko sa tingin ng isang mas mahusay na paraan upang tapusin ang pelikula, ngunit isang ngiti sa aking mukha, mahusay na paraan upang I-wrap up ang isang kahanga-hangang pelikula at trilogy!"
"I recommend this for EVERYONE who loves film, movies, anything...A Work of Art!",1,"Inirerekumenda ko ito para sa lahat na nagnanais ng pelikula, mga pelikula, kahit ano ... A Work of Art!"
10 out of 10 for both the movie and trilogy.,1,10 out of 10 para sa parehong pelikula at trilogy.
I literally vomited while watching this film.,0,Literal na ako sumuka habang nanonood ito pelikula.
I think i was one of the people who found this another one of roth's pearls.,1,Sa tingin ko ako ay isa sa mga tao na natagpuan na ito ng isa pang isa sa roth perlas.
"his performance, as awarded, was stunning.",1,"ang kanyang pagganap, tulad ng iginawad, ay napakaganda."
"the story which was told so eloquently by Francis ford Coppola 25 years earlier, really unfolds gradually and leaves room for the characters to develop.",1,"ang kuwento na nasaysay sa gayon eloquently sa pamamagitan ng Francis Ford Coppola 25 taon mas maaga, talagang unfolds unti-unting at dahon kuwarto para sa mga character upang bumuo."
In a most wonderful location lies a story of contrast.,1,Sa isang kabanal-kahanga-hangang lokasyon namamalagi ang isang kuwento ng contrast.
All in all a beautiful directed film from Nicola's roeg wih a sublime cast.,1,Lahat sa lahat isang magandang nakadirekta film mula sa Nicola roeg wih isang kahanga-hanga cast.
I'm translating movies for a living and this is the first movie in my 5-year working experience that I found offensive to my intelligence.,0,Ako nagta-translate ng mga pelikula para sa isang buhay at ito ay ang unang pelikula sa aking 5-taon na karanasan sa pagtatrabaho na aking natagpuan nakakasakit sa aking katalinuhan.
"But when someone strives for greatness and poetry, but delivers a muddled (and often ridiculous) story, a bunch of disparate scenes, pretentious dialogue... Then you get the worst kind of a movie that some other reviewer very accurately defined as ""pretentious crap"".",0,"Ngunit kapag ang isang tao strives para sa kadakilaan at tula, ngunit naghahatid ng isang muddled (at madalas nakakatawa) kuwento, ng grupo ng mga disparate mga eksena, pasikat dialogue ... Pagkatapos makuha mo ang pinakamasamang uri ng isang pelikula na ang ilang mga iba pang mga sumusuri napaka-tumpak na tinukoy bilang ""pretentious crap ""."
"To those who find this movie intelligent or even masterful, I can only say - it's your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt (it's in our human nature to try and make sense of things) .",0,"Sa mga taong mahanap ang pelikulang ito intelligent o kahit dominante, maaari ko lang sabihin - ito ay ang iyong katalinuhan at ang iyong imahinasyon mo malinaw naman gamitin upang subukan at gumawa ng ilang mga kahulugan ng mga ito kahabag-habag na pagtatangka (ito ay sa aming mga likas na katangian ng tao upang subukan at magkaroon ng kahulugan ng mga bagay)."
"One more thing: I can tolerate political incorrectness very well, I'm all for artistic freedom and suspension of disbelief, but the Slavic female character was just too much.",0,"Isa pang bagay: ang maaari kong tiisin pampulitika incorrectness very well, ako ang lahat para artistikong kalayaan at suspensyon ng kawalang-paniwala, ngunit ang Slavic babae na character ay lamang ng masyadong maraming."
This is such a fun and funny movie.,1,Ito ay tulad ng isang masaya at nakakatawang pelikula.
Highly entertaining at all angles.,1,Lubos na nakakaaliw sa lahat ng mga anggulo.
"It features an outlandish array of memorable, psychotic but lovable nuts.",1,"Nagtatampok ito ng isang katawa-tawa na hanay ng mga di-malilimutang, psychotic ngunit kagiliw-giliw na mani."
"So for our enjoyment we get to see them run around, play games, and be dangerous.",1,"Kaya para sa ating kasiyahan na nakukuha namin upang makita ang mga ito tumakbo sa paligid, maglaro, at maging mapanganib."
It even has its sweet moments.,1,Ito kahit na may matamis na sandali.
The telephone repair man was really funny and his reactions to the nuts and bitchy boss were truly genuine.,1,Ang pagkumpuni ng telepono ng tao ay talagang nakakatawa at ang kanyang mga reaksyon sa mani at bitchy boss ay tunay na tunay.
All the characters in this film are tremendously well played.,1,Ang lahat ng mga character sa film na ito ay tremendously mahusay na-play.
And I really did find them funny.,1,At ko talagang ginawa mahanap ang mga ito funny.
This is actually a very smart movie.,1,Ito ay talagang isang napaka-matalino na pelikula.
There is a brilliant twist ending.,1,May ay isang makinang na timpla na nagtatapos.
""" I love it.",1,"""Gustung-gusto ko ito."
"The ending is so, SO perfect... you'll shed a tear.",1,"pagtatapos ay kaya, KAYA perpekto ... makikita mo lumuha."
I am so thrilled after seeing a movie like this.,1,kaya ako ay nanginginig pagkatapos makita ang isang pelikula tulad nito.
I will never forget it now.,1,Hindi ko kalilimutan kailan ito ngayon.
It is not just a cult... it is a cult CLASSIC.,1,Ito ay hindi lamang isang uri ng pagsamba ... ito ay isang uri ng pagsamba CLASSIC.
Which has more depth and character than the man underneath it.,0,Na may higit pang lalim at character kaysa sa lalake sa ilalim nito.
The Malta settings are as dry and as barren as the dialogue.,0,Ang mga setting ng Malta ay ang mga dry at bilang baog bilang ang dialogue.
This movie is terrible.,0,Ang pelikula na ito ay kahila-hilakbot.
"The hockey scenes are terrible, defensemen playing like they're 5 years old, goalies diving at shots that are 10 feet wide of the net, etc.",0,"Ang hockey eksena ay kahila-hilakbot, defensemen paglalaro tulad ng mga ito ay 5 taong gulang, goalies diving sa mga pag-shot na 10 talampakan ang lapad ng net, etc."
"For those that haven't seen it, don't waste your time!",0,"Para sa mga yaong hindi nangakakita ng ito, huwag mag-aksaya ng iyong oras!"
To call this movie a drama is ridiculous!,0,Upang tumawag sa pelikulang ito isang drama ay nakakatawa!
Started watching this but didn't believe in any of the characters.,0,Nagsimula nanonood ito ngunit hindi naniniwala sa alinman sa mga character.
In particular the relationship between the bakery assistant and the waitress just didn't work for me at all.,0,Sa partikular ang relasyon sa pagitan ng bakery assistant at ang waitress lamang ay hindi gumagana para sa akin sa lahat.
It was a very superficial movie and it gave me the feeling that I was watching play rather than a film.,0,Ito ay isang napaka-mababaw na movie at ito ibinigay sa akin ang pakiramdam na ako ay nanonood ng pag-play sa halip na isang film.
The characters were very 'stagey' and the storyline was a lot like a stage farce.,0,Ang mga character ay napaka 'maarte' at ang storyline ay isang pulutong tulad ng isang yugto komedya.
By the time the pyromaniac waylaid the assistant I was bored and didn't care what happened next and so I switched off.,0,Sa oras na ang pyromaniac hinarang ang assistant Nainis ako at hindi na mahalaga kung ano ang nangyari sa tabi at sa gayon ako nakasara.
Glad I didn't pay to see it.,0,Ikinalulugod ko ay hindi magbabayad para makita ito.
Didn't laugh or even smile once.,0,Hindi tumawa o kahit ngumiti nang isang beses.
But it wasn't anything at all just one big yawn...,0,Ngunit ito ay hindi anumang bagay sa lahat lamang ng isang malaking humikab ...
It is a really good show to watch.,1,Ito ay isang talagang magandang palabas upang panoorin.
It is very educational for children 1 to 8 years old.,1,Ito ay napaka-edukasyon para sa mga bata 1 hanggang 8 taong gulang.
Barney is definitely super DE duper.,1,Barney ay talagang super DE duper.
is pretty funny.,1,ay medyo nakakatawa.
Babie Bop is very cute.,1,Babie Bop ay napaka-cute.
The kids are very cool too.,1,Ang mga bata ay napaka-palamig masyadong.
""" But ""Storm Trooper"" is not even bad enough to make it to the list of wonderfully terrible movies.",0,"""Ngunit"" Storm Trooper ""ay hindi kahit masamang sapat na upang gumawa ito sa listahan ng mga kamangha-mangha na kahila-hilakbot na pelikula."
It's just lame.,0,Ito lamang ay pilay.
The guy who said he's had better dialogue with his potted plants has it right.,0,Ang taong sinabi siya ay nagkaroon ng mas mahusay na dialogue sa kanyang mga nakapasong mga halaman ay may karapatan dito.
Everything about this movie is stupid.,0,Lahat ng tungkol sa pelikulang ito ay bobo.
"Even if you love bad movies, do not watch this movie.",0,"Kahit na gustung-gusto mo masamang pelikula, huwag panoorin ang pelikulang ito."
It is shameful.,0,Ito ay nagbibigay ng kahihiyan.
I would give this television series a 10 plus if i could.,1,Gusto ko bigyan ito ng television series 10 plus kung kaya ako.
"The writers were ""smack on"" and I think the best actors and actresses were a bonus to the show.These characters were so real.",1,"Ang mga manunulat ay ""smack on"" at sa tingin ko ang pinakamahusay na aktor at actresses ay isang bonus sa show.These character ay kaya real."
I must say I have taped most of the episodes and i find myself watching them over and over again.,1,dapat kong sabihin ako ay may-tape ang karamihan sa mga episode at i mahanap ang aking sarili sa panonood ng mga ito nang paulit-ulit.
Now you know why I gave it a 10+!,1,Ngayon alam mo kung bakit ko ibinigay ito ng isang 10 +!
"I don't know exactly what it is about this movie, but we latched on to this endearing movie and it has become a special part of our family's memories.",1,"Hindi ko alam kung ano mismo ang ito ay tungkol sa pelikulang ito, ngunit hindi namin latched sa sa ito endearing movie at ito ay naging isang espesyal na bahagi ng mga alaala ng aming pamilya."
I totally and absolutely recommend this movie to anyone who likes good wholesome family movies because that is exactly what this is.,1,Ko lubos at ganap na inirerekumenda ang pelikulang ito sa kahit sinong may gusto magandang pelikula wholesome family dahil iyon ay kung ano mismo ang ito ay.
The things that the four kids get themselves into is absolutely hilarious to watch.,1,Ang mga bagay na sa apat na mga bata makakuha ng kanilang mga sarili sa ay ganap maingay at masaya upang panoorin.
This is one of the best movies out there that shows such strong sibling bond for each other.,1,Ito ay isa sa mga pinakamahusay na mga pelikula out doon na palabas tulad malakas na kapatid bond para sa bawat isa.
"Much more interesting, more action, more suspense, and less of the unneeded controversy.",1,"Karamihan mas kawili-wiling, higit pang pagkilos, mas suspense, at mas mababa ng unneeded kontrobersya."
Everything from acting to cinematography was solid.,1,Lahat mula sa kumikilos sa sinematograpia ay matatag.
Definitely worth checking out.,1,Talagang nagkakahalaga ng check out.
Damian is so talented and versatile in so many ways of writing and portraying different Characters on screen.,1,Damian ay kaya alisto at maraming nalalaman sa gayon maraming mga paraan ng pagsulat at portraying iba't ibang mga character sa screen.
This movie has a cutting edge to it.,1,Ang pelikula na ito ay may cutting edge dito.
"I am so pleased to know such a modern day genius is out there , letting is passion for Art drive him and taking us as an audience with him.",1,"kaya Natutuwa ako na malaman tulad ng isang modernong-araw henyo ay out doon, pagpapaalam ay pagkahilig para sa Art humimok sa kanya at pagkuha sa amin bilang isang madla sa kanya."
"The new characters weren't all that memorable, and I found myself forgetting who was who.",0,"Ang bagong mga character ay hindi lahat na di-malilimutang, at natagpuan ko ang aking sarili forgetting na kung sino."
I felt as though her going to Ireland did absolutely nothing whatsoever.,0,Nadama ko na tila ang kanyang pagpunta sa Ireland ginawa ganap na walang kung ano pa man.
"It didn't make me scared, horrified, or make me sympathetic towards the characters; it was simply annoying.",0,"Hindi ito ginawa ako natakot, takot, o gumawa sa akin nagkakasundo patungo sa character; ito ay simpleng nakakainis."
The jerky camera movements were also annoying.,0,Ang maalog paggalaw ng camera ay nakakainis din.
The plot was the same as pretty much every other cheap horror.,0,Ang balangkas ay katulad ng medyo magkano ang bawat iba pang mga murang horror.
"There was a few pathetic attempts to give the characters some depth, but it didn't really work into the rest of the plot.",0,"Nagkaroon ng ilang mga kalunus-lunos na pagtatangka upang bigyan ang mga character na binigyan ng diin, ngunit ito ay hindi tunay na trabaho sa ang magpahinga ng ang isang lagay ng lupa."
"I guess it was supposed to be clever twist, then shed some light on the situation, but it was just stupid.",0,"Hulaan ko ito ay dapat na maging matalino timpla, pagkatapos ay malaglag ang ilang ilaw sa sitwasyon, ngunit ito ay lamang hunghang."
"If you see it, you should probably just leave it on the shelf.",0,"Kung nakikita mo ito, dapat mong marahil lamang iwanan ito sa shelf."
"Elias Koteas,Jack Palance play good roles Angelina is hot and gets naked.Billy Drago appears in this and is cool as usual + a cameo by Sven ole Thorsen helps make this a very enjoyable movie with good acting and a decent budget.",1,"Elias Koteas, pag-play mahusay na mga tungkulin Jack Palance Angelina ay mainit at nakakakuha naked.Billy Drago ay lilitaw sa ito at ito ay cool na tulad ng dati + isang kameya sa pamamagitan ng Sven ole Thorsen ay nakakatulong na gawing ito ng isang napaka-kasiya-siya ng pelikula na may magandang kumikilos at isang disenteng badyet."
This was such an awesome movie that i bought it off of Ebay.,1,Ito ay tulad ng isang kahanga-hangang pelikula na binili ko ito off ng eBay.
"I really loved the story line and the poler bear was kinda cute.But if anyone has a question about Fort Steele, just ask away:)",1,"Ako tunay na minamahal ang kuwento linya at ang poler oso ay kinda cute.But kung sinuman ay may isang katanungan tungkol sa Fort Steele, magtanong lamang ang layo :)"
This totally UNfunny movie is so over the top and pathetic and unrealistic that throughout the whole 90 minutes of utter torture I probably looked at my watch about 70000 times!,0,Ito lubos na unfunny movie ay kaya sa paglipas ng tuktok at kahabag-habag at hindi makatotohanang na sa buong 90 minuto ng tubos labis na pagpapahirap ko marahil ay tumingin sa aking relo tungkol 70000 beses!
Lucy Bell is so much higher than this crap and for her to sink this low is quite depressing.,0,Lucy Bell ay kaya magkano ang mas mataas kaysa sa crap na ito at para sa kanya upang malunod ito mababa ay medyo mapagpahirap.
All this movie does is make you sick watching all these slackers make excuses for their stupid actions for 90 minutes.,0,Lahat ng pelikulang ito ang ginagawa ay gumawa ka ng may sakit na nanonood ang lahat ng mga slackers gumawa ng excuses para sa kanilang mga bobo mga aksyon para sa 90 minuto.
"God, and I can never get that 90 minutes back!",0,"Diyos, at hindi ko maaaring makakuha ng na 90 minuto i-back!"
"I think the most wonderful parts (literally, full of ""wonder"") are the excerpts from his works.",1,"Sa tingin ko ang pinaka-kahanga-hangang bahagi (sa literal, puno ng ""wonder"") ay ang mga sipi mula sa kanyang mga gawa."
"The sets (especially designed to work with the camera) are amazing....stylized, beautiful and effective.",1,"Ang mga hanay (lalo na dinisenyo upang trabaho gamit ang camera) ay amazing .... inilarawan sa pangkinaugalian, maganda at epektibo."
They could be used as exemplars for any set designer.,1,Maaari silang gamitin bilang huwaran para sa anumang hanay designer.
The stories were powerful explorations of the nature of man and of art.,1,Ang kuwento ay malakas na pag-explore ng likas na katangian ng tao at ng sining.
"After watching this film, I wanted to learn more about the works of this artist.",1,"Pagkatapos nanonood ito pelikula, Nais kong matuto nang higit pa tungkol sa mga gawa ng artist na ito."
"I highly recommend this movie for anyone interested in art, poetry, theater, politics, or Japanese history.",1,"Ako mataas na pinapayo sa pelikulang ito para sa sinuman na interesado sa sining, tula, teatro, pulitika, o Japanese history."
"Here, in The Wind and the Lion, we see a wonderful rendering of America's own Imperial age.",1,"Dito, sa The Wind at ang Lion, nakikita natin ang isang kahanga-hangang pag-render ng sariling Imperial edad Amerika."
") What makes this story different are the terrific production values - faultless photography, composition and editing - the terrific casting - the underappreciated Brian Keith playing a bully Teddy - and vivid history.",1,") Ano ang pagkaiba ng kuwentong ito naiiba ay ang kakila-kilabot na mga halaga ng produksyon - walang kamali-mali photography, komposisyon at pag-edit - ang kakila-kilabot na cast - ang underappreciated Brian Keith naglalaro ng isang bully Teddy - at matingkad na kasaysayan."
"Though The Wind and the Lion is told largely through the eyes of the son, every member of the family can identify with one of the characters, whether it be Sean Connery's noble brigand, Candace Bergen's feisty heroine, John Huston's wily John Hay or Steve Kanaly's spiffy, radiant, ruthless can-do lieutenant, Roosevelt's ""Big Stick"".",1,"Kahit na ang hangin at ang Lion ay sinabi sa kalakhan sa pamamagitan ng mga mata ng anak na lalaki, ang bawat miyembro ng pamilya ay maaaring makilala sa isa sa mga character, kung ito man ay marangal brigand Sean Connery ni, Candace Bergen ni Feisty magiting na babae, John Huston ni wily John Hay o Steve Kanaly ni spiffy, nagliliwanag, walang awa maaari-do tenyente, ni Roosevelt ""Big Stick""."
This is high adventure at its best.,1,Ito ay mataas na pakikipagsapalaran sa kanyang pinakamahusay.
"I think it was Robert Ryans best film, because he portrayed someone like my father, and he was a schizophrenic in real life,(my father) although he never murdered anyone but was affected more so during the second world war which made him worse.",1,"Sa tingin ko ito ay Robert Ryans pinakamahusay na pelikula, dahil portrayed siya ng isang tao tulad ng aking ama, at siya ay isang schizophrenic sa totoong buhay, (ang aking ama) bagaman hindi siya pinatay ang sinuman ngunit ay nadamay na kaya sa panahon ng ikalawang digmaan mundo na ginawa siyang mas masahol pa."
Having to humour him just to get by and get through the day was so apt.,1,Ang pagkakaroon na katatawanan kanya lamang upang makakuha ng sa pamamagitan ng at makakuha ng sa pamamagitan ng araw ay kaya apt.
"(My mother and brother had to do this)When I saw Robert Ryan portraying this type of man, it was a very good imitation of this type of individual, and I was impressed.",1,"(Ang aking ina at kapatid na lalaki ay nagkaroon upang gawin ito) Kapag Nakita ko ang Robert Ryan portraying ganitong uri ng tao, ito ay isang napakahusay na imitasyon ng ganitong uri ng mga indibidwal, at ako ay impressed."
Almost all of the songs in Cover Girl are old-fashioned and not very tuneful.,0,Halos lahat ng mga kanta sa Cover Girl ay makaluma at hindi masyadong tuneful.
The most annoying thing about 'Cover Girl' is the way in which Rita Hayworth is put up on a pedestal.,0,Ang pinaka-nakakainis na bagay tungkol sa 'Cover Girl' ay ang paraan kung saan Rita Hayworth ay ilagay up sa isang pedestal.
"Unfortunately, 'Cover Girl' is an example of how Hollywood used to exploit women for financial gain.",0,"Sa kasamaang palad, 'Cover Girl' ay isang halimbawa ng kung paano Hollywood ginagamit upang pagsamantalahan kababaihan para sa pinansyal na pakinabang."
Non-linear narration thus many flashbacks and every part are articulated quite well.,1,Non-linear pagsasalaysay sa gayon maraming mga flashbacks at ang bawat bahagi ay articulated ganap mabuti.
The good cinematography also makes her and Monica Bellucci look very beautiful.,1,Ang magandang cinematography ring gumagawa ng kanyang at Monica Bellucci tumingin napaka-maganda.
A good commentary of today's love and undoubtedly a film worth seeing.,1,Ang isang mahusay na komentaryo ng pag-ibig sa araw na ito at walang alinlangan isang pelikula nagkakahalaga ng nakakakita.
"For people who are first timers in film making, I think they did an excellent job!!",1,"Para sa mga taong unang timers sa paggawa ng pelikula, Sa tingin ko ang kanilang ginawa ng mahusay na trabaho !!"
"It was very popular when I was in the cinema, a good house and very good reactions and plenty of laughs.",1,"Ito ay napaka-tanyag na kapag ako ay sa cinema, isang magandang bahay at napakahusay na mga reaksyon at puno ng laughs."
It's a feel-good film and that's how I felt when I came out of the cinema!,1,Ito ay isang pakiramdam-magandang pelikula at na kung paano ko nadama kapag ako ay dumating sa labas ng cinema!
It has northern humour and positive about the community it represents.,1,Ito ay may hilagang katatawanan at positibong tungkol sa komunidad ito ay kumakatawan.
I rather enjoyed it.,1,Ako sa halip tangkilikin ito.
I liked it.,1,Nagustuhan ko.
I couldn't take them seriously.,0,Hindi ko maaaring tumagal ito sineseryoso.
It really created a unique feeling though.,1,Ito ay talagang nilikha ng isang natatanging pakiramdam kahit na.
Vivian Schilling did an excellent job with the script.,1,Vivian Schilling ginawang isang mahusay na trabaho sa script.
A world better than 95% of the garbage in the theatres today.,1,Ang isang mundo mas mahusay kaysa sa 95% ng mga basura sa mga sinehan ngayon.
Her role was played well.,1,Ang kanyang papel ay nilalaro na rin.
Not too screamy not to masculine but just right.,1,Hindi masyadong screamy na hindi panlalaki ngunit tama lang.
The camera really likes her in this movie.,1,Ang kamera ay talagang may gusto siya sa pelikulang ito.
I would have casted her in that role after ready the script.,1,Gusto ko casted kanyang sa na papel pagkatapos handa script.
"As a European, the movie is a nice throwback to my time as a student in the 1980's and the experiences I had living abroad and interacting with other nationalities, although the circumstances were slightly different.",1,"Bilang isang European, ang pelikula ay isang magandang kilos sa pabalik sa ang aking panahon bilang isang mag-aaral sa 1980 at ang mga karanasan ko ay nagkaroon ng buhay sa ibang bansa at nakikipag-ugnayan sa iba pang mga nationalities, bagaman ang mga pangyayari ay bahagyang naiiba."
I am a fan of his ... This movie sucked really bad.,0,Ako ay isang tagahanga ng kanyang ... Ang pelikula na ito sinipsip ganap na hindi maayos.
Even worse than Ticker!,0,Kahit na mas masahol pa kaysa sa Ticker!
& That movie was bad.,0,& Movie Iyon ay masama.
"Only like 3 or 4 buildings used, a couple of locations MAYBE, & poor hummh!",0,"Lamang tulad ng 3 o 4 na mga gusali na ginamit, isang pares ng mga lokasyon MAYBE, at mahihirap hummh!"
It just blew.,0,Ito ay lamang blew.
"This movie is excellent!Angel is beautiful and Scamp is adorable!His little yelps when hes scared,and the funniest parts are when:Scamp is caught under the curtain and when Angel and Scamp are singing 'Ive Never Had This Feeling Before'.I totally recommend this movie,its coming out on special edition on June 20.The cover has scamp on a garbage can and Angel underneath the lid.",1,"Ang pelikula na ito ay tamang-tama Angel ay maganda at walang hiya ay kaibig-ibig Ang kanyang maliit na yelps kapag hes natakot, at ang pinakanakakatawa bahagi ay kapag:! Scamp ay nahuli sa ilalim ng kurtina at kapag Angel at walang hiya ay pagkanta 'Ive hindi kailanman nagkaroon ito Feeling Before'.I lubos na inirerekomenda ang pelikulang ito, ang mga darating na out sa espesyal na edisyon noong Hunyo 20.The pabalat ay walang hiya sa isang basura maaari at Angel sa ilalim ng takip."
"I just cant explain this movie more than romantic,charming,hilarious,and adorable.The junkyard scenes are funny,all the junkyard dogs have something special.Too funny i laughed,kids will LOVE it.Buy it when it comes out,it has new features!",1,"Ko lang hindi maaaring mawala ipaliwanag pelikulang ito higit romantiko, charming, maingay at masaya, at adorable.The junkyard eksena ay nakakatawa, ang lahat ng mga junkyard aso ay may isang bagay na special.Too funny i laughed, kids ay PAG-IBIG it.Buy ito kapag ito ay dumating out, ito ay may mga bagong katangian!"
Now we were chosen to be tortured with this disgusting piece of blatant American propaganda.,0,Ngayon kami ay pinili upang ma-tortured na may ganitong karima-rimarim na piraso ng maingay propagandang Amerikano.
This show is made for Americans - it is too stupid and full with hatred and clichés to be admitted elsewhere.,0,Ang palabas na ito ay ginawa para sa mga Amerikano - ito ay masyadong boba at puno ng poot at cliches na admitido sa ibang lugar.
"Almost everyone involved must be return to school, acting is utterly predictable and bad, script is pile of garbage all round.",0,"Halos lahat ng tao na kasangkot ay dapat na bumalik sa paaralan, kumikilos ay lubos na predictable at masama, script ay tumpok ng basura ang lahat ng round."
"I wish I could enter negative values, admins?",0,"Nais kong maaari kong ipasok ang negatibong halaga, mga admin?"
"The sets are so bad, they wouldn't look out of place on a Thunderbirds episode.",0,"Ang mga hanay ay kaya masama, hindi sila magiging ganito ang hitsura sa labas ng lugar sa isang Thunderbirds episode."
"The use of slow-motion needlessly repeats itself throughout the movie but is well backed up by bad acting (and bad is a kind word here), no continuity, scenes that are thrown in for no reason whatsoever, vehicles that looked like they were made from a Corn Flakes box and a directorial style that bordered on stupidity.",0,"Ang paggamit ng mabagal na galaw needlessly repeats itself sa buong pelikula ngunit ay mahusay na naka-back up sa pamamagitan ng masamang-arte (at masama ay isang uri ng salita dito), walang pagpapatuloy, eksena na itinapon in para sa walang dahilan kung ano pa man, mga sasakyan na mukhang sila ay ginawa mula sa isang mais natuklap box at directorial estilo na bordered sa katangahan."
"Oh yeah, and the storyline was pathetic too.",0,"Oh yeah, at ang storyline ay kalunus-lunos rin."
I hate writing bad reviews about films - especially those in which I really like the star - but this film is so bad I don't believe for one second that anyone could have been proud of it.,0,I hate pagsusulat ng masamang mga review tungkol sa mga pelikula - lalo na ang mga na kung saan ko talagang tulad ng mga bituin - ngunit ito pelikula ay kasing sama Hindi ako naniniwala para sa isang ikalawang na sinuman ay maaaring ay maipagmamalaki nito.
I am not a filmmaker nor am I a director but I would hide my head in the sand if I'd spent whatever amount of money and time on this movie.,0,Hindi ako isang filmmaker ni Ako ay isang director pero gusto ko itago ang aking ulo sa buhangin kung gusto ko na ginugol ng kahit anong halaga ng pera at oras sa pelikulang ito.
In short - this was a monumental waste of time and energy and I would not recommend anyone to EVER see this film.,0,Sa madaling salita - ito ay isang monumental na pag-aaksaya ng oras at enerhiya at hindi ko inirerekomenda ang sinuman na kailanman makita ito film.
It came free with a DVD player I bought but I still turned the thing off halfway through because I was embarrassed for Howell.,0,Ito ay dumating sa libre na may DVD player binili ko ngunit ako pa rin ang naka-ang bagay off nang kalahating dahil ako ay napahiya para sa Howell.
1/10 - and only because there is no setting for 0/10.,0,1/10 - at dahil lamang walang setting para sa 0/10.
"An interesting premise, and Billy Drago is always good as a dangerous nut-bag (side note: I'd love to see Drago, Stephen McHattie and Lance Hendrikson in a flick together; talk about raging cheekbones!).",1,"Ang isang kawili-wiling lugar, at Billy Drago ay palaging magandang bilang mapanganib na kulay ng nuwes-bag (side note: gusto kong makita ang Drago, Stephen McHattie at Lance Hendrikson sa isang kisap-mata nang sama-sama; talk tungkol raging cheekbones!)."
"The soundtrack wasn't terrible, either.",1,"Ang soundtrack ay hindi kahila-hilakbot, alinman."
"But the acting--even that of such professionals as Drago and Debbie Rochon--was terrible, the directing worse (perhaps contributory to the former), the dialog chimp-like, and the camera work, barely tolerable.",0,"Ngunit ang kumikilos - kahit na ng naturang mga propesyonal tulad ng Drago at Debbie Rochon - ay kahila-hilakbot, ang nagdidirekta mas masahol pa (marahil abuloy sa ang dating), ang dialog chimp-tulad ng, at ang camera work, bahagya matitiis."
"Still, it was the SETS that got a big ""10"" on my ""oy-vey"" scale.",1,"Still, ito ay ang SETS na nakuha ng isang malaking ""10"" sa aking ""oy-vey"" scale."
"Yes, I am simplifying things here for the sake of brevity, for this really is at the core of the problems with this film - it has too much going on without any real, fulfilling explanation.",0,"Oo, ako simplifying mga bagay-bagay dito para sa kapakanan ng kaiklian, para ito ay tunay na sa core ng problema sa film na ito - ito ay masyadong maraming nangyayari nang walang anumang real, tuparin paliwanag."
